DEPTH,CALS,DEVI,DRHO,FC13,FC24,FCAL,TENS,HTEN,MRES,MTEM,NPHI,LLD,LLS,SPED,PEF,MSFL,SP,GR,RHOB,DT
1735.3615,12.4887,40.0163,-0.01466724,12.1728,12.1805,12.1766,3295.596,1471.846,0.048833101,61.556,0.319,-3,2.222445936,683.9408,4.698056278,-1,51.1977,15.7149,2.449075612,55.9576
1735.5139,12.4885,40.0109,-0.01466724,12.1771,12.1808,12.1789,3303.384,1474.038,0.048833101,61.5434,0.316,-3,2.222445936,686.9559,4.698056278,-1,51.4224,16.9985,2.449075612,55.7795
1735.6663,12.4887,40.0047,-0.01466724,12.1773,12.1778,12.1776,3295.327,1474.792,0.048833101,61.5748,0.3146,-3,2.222445936,688.2104,4.698056278,-1,51.6471,17.6224,2.449075612,55.5915
1735.8187,12.4885,39.9959,-0.01466724,12.1768,12.1737,12.1752,3281.362,1463.155,0.048833101,61.5843,0.3497,-3,2.222445936,688.2104,4.698056278,-1,51.772,17.9799,2.449075612,55.8544
1735.9711,12.4885,39.988,-0.01466724,12.1755,12.1724,12.1739,3276.26,1464.893,0.048833101,61.6146,0.3402,-3,2.222445936,686.8571,4.698056278,-1,52.1465,18.8739,2.449075612,55.8354
1736.1235,12.4885,39.9842,-0.01466724,12.1763,12.1709,12.1736,3293.716,1462.484,0.048833101,61.6234,0.3296,-3,2.222445936,691.9743,4.698056278,-1,52.6084,19.5716,2.449075612,55.85
1736.2759,12.4887,39.9805,-0.01466724,12.1752,12.172,12.1736,3299.087,1483.302,0.048833101,61.6548,0.2845,-3,2.222445936,691.941,4.698056278,-1,52.9705,18.657,2.449075612,55.7805
1736.4283,12.4885,39.9737,-0.01466724,12.179,12.1705,12.1747,3287.808,1479.122,0.048833101,61.6269,0.2764,-3,2.222445936,698.1819,4.698056278,-1,53.4074,18.1294,2.449075612,55.9506
1736.5807,12.4885,39.9715,-0.01466724,12.178,12.1713,12.1747,3278.677,1471.038,0.048833101,61.6266,0.2628,-3,2.222445936,698.1819,4.698056278,-1,53.8194,17.7805,2.449075612,55.8165
1736.7331,12.4885,39.969,-0.01466724,12.1798,12.169,12.1744,3283.779,1468.847,0.048833101,61.61,0.2818,-3,2.222445936,700.9853,4.698056278,-1,54.0316,17.8699,2.449075612,55.8958
1736.8855,12.4885,39.9644,-0.01466724,12.1758,12.1701,12.1729,3287.271,1466.206,0.048833101,61.6259,0.2961,-3,2.222445936,698.6163,4.698056278,-1,54.2064,17.6192,2.449075612,55.7625
1737.0379,12.4885,39.9581,-0.01466724,12.1761,12.17,12.173,3277.334,1472.169,0.048833101,61.6102,0.3115,-3,2.222445936,700.2515,4.698056278,-1,54.3687,17.1722,2.449075612,55.6266
1737.1903,12.4887,39.9589,-0.01466724,12.1732,12.1696,12.1714,3279.482,1466.981,0.048833101,61.6236,0.3017,-3,2.222445936,700.2515,4.698056278,-1,54.531,17.2616,2.449075612,55.6012
1737.3427,12.489,39.9579,-0.01466724,12.174,12.1676,12.1708,3290.225,1479.381,0.048833101,61.6501,0.2999,-3,2.222445936,700.6533,4.698056278,-1,54.6559,17.7938,2.449075612,55.6884
1737.4951,12.489,39.9511,-0.01466724,12.172,12.1725,12.1723,3298.281,1484.116,0.048833101,61.6494,0.2817,-3,2.222445936,696.0133,4.698056278,-1,54.6684,17.4363,2.449075612,55.7089
1737.6475,12.489,39.9447,-0.01466724,12.1753,12.173,12.1741,3305.264,1487.364,0.048833101,61.6216,0.2684,-3,2.222445936,692.7145,4.698056278,-1,54.5435,17.356,2.449075612,55.634
1737.7999,12.489,39.943,-0.01466724,12.1762,12.1832,12.1797,3307.681,1486.685,0.048833101,61.6389,0.264,-3,2.222445936,691.2374,4.698056278,-1,54.3188,17.5257,2.449075612,55.5775
1737.9523,12.4889,39.943,-0.01466724,12.1825,12.1843,12.1834,3292.642,1481.107,0.048833101,61.6313,0.2806,-3,2.222445936,691.2374,4.698056278,-1,54.1939,18.0735,2.449075612,55.8849
1738.1047,12.4887,39.9391,-0.01466724,12.1869,12.1898,12.1883,3275.991,1476.949,0.048833101,61.6306,0.3163,-3,2.222445936,691.9622,4.698056278,-1,53.9817,18.4402,2.449075612,55.8837
1738.2571,12.4889,39.9335,-0.01466724,12.1872,12.1854,12.1863,3267.935,1477.257,0.048833101,61.6597,0.3418,-3,2.222445936,686.806,4.698056278,-1,53.9193,17.1887,2.449075612,55.946
1738.4095,12.4892,39.9328,-0.01466724,12.1835,12.1837,12.1836,3291.03,1492.538,0.048833101,61.6705,0.3371,-3,2.222445936,684.9925,4.698056278,-1,53.7445,16.0174,2.449075612,55.6233
1738.5619,12.4889,39.9341,-0.01466724,12.175,12.181,12.178,3345.815,1531.827,0.048833101,61.6531,0.2839,-3,2.222445936,680.4816,4.698056278,-1,53.782,16.9343,2.449075612,55.4756
1738.7143,12.4887,39.9292,-0.01466724,12.1741,12.1836,12.1789,3350.112,1557.485,0.048833101,61.6738,0.2629,-3,2.222445936,680.4816,4.698056278,-1,53.6446,16.9119,2.449075612,55.4338
1738.8667,12.4887,39.9251,-0.01466724,12.1774,12.1877,12.1826,3321.377,1522.501,0.048833101,61.6658,0.2513,-3,2.222445936,679.5518,4.698056278,-1,53.4698,15.8254,2.449075612,55.6125
1739.019,12.4887,39.9235,-0.01466724,12.1863,12.1896,12.188,3303.115,1493.691,0.048833101,61.6525,0.2777,-3,2.222445936,676.0929,4.698056278,-1,53.345,17.3495,2.449075612,55.7226
